Time,Voltage_simulation,Current_simulation,Voltage_data,Current_data,SOC_data
4860.0,3.333237873141312,-134.7231237,3.380896762,-134.7231237,0.53264573
4920.0,3.334410555828772,-134.5208556,3.381943222,-134.5208556,0.54016458
4980.0,3.3352787026127038,-134.2629738,3.38294198,-134.2629738,0.547670579
5040.0,3.3360523033973153,-134.6391909,3.38394074,-134.6391909,0.555179883
5100.0,3.336535234033292,-134.2502417,3.384644086,-134.2502417,0.562688831
5160.0,3.336869074132276,-133.6241983,3.385622478,-133.6241983,0.570169435
5220.0,3.337006306896296,-132.3358377,3.386918766,-132.3358377,0.577596578
5280.0,3.3375604895201705,-133.5081712,3.387936397,-133.5081712,0.58502048
5340.0,3.3377242756073193,-132.7566193,3.389870765,-132.7566193,0.592456133
5400.0,3.3379051663784165,-132.2,3.39,-132.2,0.599855255
5460.0,3.337957014943747,-131.0354713,3.392876459,-131.0354713,0.607206312
5520.0,3.3383482469249612,-131.6597668,3.393931516,-131.6597668,0.614542282
5580.0,3.3385999579034205,-131.5551288,3.395860417,-131.5551288,0.621892765
5640.0,3.3389015373330193,-131.6898014,3.39692894,-131.6898014,0.629244086
5700.0,3.339221298987628,-131.8867704,3.398277721,-131.8867704,0.636604668
5760.0,3.3395946729416317,-132.3122519,3.399306455,-132.3122519,0.643982633
5820.0,3.3402117415205677,-133.8966829,3.399951713,-133.8966829,0.651416727
5880.0,3.3405567126798323,-134.051731,3.400924042,-134.051731,0.658899396
5940.0,3.3409655493182697,-134.4616693,3.401922812,-134.4616693,0.666397844
6000.0,3.341332375830691,-134.60001,3.402,-134.60001,0.673911602
6060.0,3.3416886113069655,-134.6217799,3.40330415,-134.6217799,0.681429832
6120.0,3.342118440751498,-134.9286339,3.403947969,-134.9286339,0.688957239
6180.0,3.3423956150365646,-134.4360895,3.404918036,-134.4360895,0.69647946
6240.0,3.342862233120199,-134.7685798,3.405374924,-134.7685798,0.703997211
6300.0,3.343273224646552,-134.7558371,3.405783368,-134.7558371,0.711523892
6360.0,3.343522278317617,-133.9206146,3.406367211,-133.9206146,0.719026893
6420.0,3.3441246322986293,-134.6198251,3.407149148,-134.6198251,0.726526095
6480.0,3.3445526151595524,-134.4210938,3.407931085,-134.4210938,0.734039274
6540.0,3.3450515554640567,-134.4402924,3.408,-134.4402924,0.741547439
6600.0,3.3455159884791135,-134.2,3.408,-134.2,0.74904943
6660.0,3.3460256735695997,-134.0461089,3.409604984,-134.0461089,0.756540413
6720.0,3.3465837622157952,-133.9775269,3.410881322,-133.9775269,0.764025183
6780.0,3.347181592142153,-133.9422843,3.411452961,-133.9422843,0.771507054
6840.0,3.347723295225485,-133.5306066,3.411952358,-133.5306066,0.778976444
6900.0,3.348349148768448,-133.3188779,3.413259319,-133.3188779,0.786428426
6960.0,3.3489475476499484,-132.8369291,3.414298628,-132.8369291,0.793861035
7020.0,3.3496995078820966,-132.7892996,3.41493679,-132.7892996,0.801278856
7080.0,3.350487545974006,-132.675005,3.415899825,-132.675005,0.808692155
7140.0,3.351380988634145,-132.7310547,3.416898562,-132.7310547,0.816103827
7200.0,3.352348671035758,-132.8,3.417,-132.8,0.82351899
7260.0,3.3532033287640868,-132.1687008,3.419632132,-132.1687008,0.830918449
7320.0,3.3543440701130436,-132.2562044,3.420894845,-132.2562044,0.838302722
7380.0,3.3554064067023495,-131.70107,3.422787318,-131.70107,0.845673936
7440.0,3.356739717873499,-131.6596598,3.423892477,-131.6596598,0.853028491
7500.0,3.3580996102037783,-131.2083692,3.426067034,-131.2083692,0.860369287
7560.0,3.359619631015163,-130.7023007,3.426907582,-130.7023007,0.867683348
7620.0,3.361313287050241,-130.0521432,3.429666861,-130.0521432,0.87496512
7680.0,3.363188370216627,-129.1136121,3.431775444,-129.1136121,0.882202527
7740.0,3.3657567407578144,-129.1048688,3.434659603,-129.1048688,0.889413481
7800.0,3.3686866399461115,-128.60001,3.435,-128.60001,0.896610092
7860.0,3.372167957707558,-127.5949757,3.441599517,-127.5949757,0.903764538
7920.0,3.376647715871225,-126.4188716,3.446414453,-126.4188716,0.910858074
7980.0,3.382604178935972,-124.8507782,3.453171947,-124.8507782,0.917874976
8040.0,3.3910013730080477,-122.6890617,3.461924063,-122.6890617,0.92478772
8100.0,3.404088630895432,-119.6586006,3.478529332,-119.6586006,0.931555469
8160.0,3.432278466764129,-117.4563654,3.49848013,-117.4563654,0.93817709
