Solution,RMSE,C1,C2
"[0.4762691  0.45758486 0.29284904 0.58512069 0.1377199  0.73309209
 0.92147191 0.88995608 0.37806719 0.33465608 0.56682537 0.58431605
 0.2916267  0.06865406 0.71113917 0.47804501 0.97519352 0.09759564
 0.82433141 0.51084357 0.69262514 0.94193822 0.63119816 0.05397171
 0.37687238 0.30166501]",0.11145453752905556,0.07344175926064027,-0.009817771220048824
"[0.78541755 0.07519547 0.37487015 0.39065267 0.40059087 0.61379791
 0.54443505 0.7843364  0.18342946 0.0807461  0.55237881 0.27082195
 0.5429763  0.46437152 0.46038529 0.2957519  0.90298819 0.33103387
 0.58103142 0.06537821 0.79255035 0.87179669 0.91400894 0.3111453
 0.20749379 0.10199988]",0.11341515969592887,0.07138457577737073,-0.007844209440259485
"[0.57298572 0.3175749  0.22112139 0.21158174 0.52856521 0.73309209
 0.49684932 0.70422421 0.53063963 0.13390553 0.73462665 0.5536403
 0.18309533 0.58135898 0.67245674 0.47804501 0.71320065 0.09759564
 0.87365631 0.34870033 0.94286348 0.79394689 0.99830327 0.23201826
 0.41907108 0.15306549]",0.11388812300439645,0.0775073577057476,-0.009960373785928726
"[0.72363809 0.07519547 0.37487015 0.80936099 0.31450232 0.73309209
 0.73043578 0.88995608 0.18342946 0.21848491 0.83439707 0.44705315
 0.18309533 0.2804519  0.64616016 0.47804501 0.89264465 0.29138935
 0.83362423 0.21263323 0.62651604 0.72855584 0.89135631 0.45514798
 0.24206105 0.1550113 ]",0.11503642434065843,0.0793502553289688,-0.011102786104379885
"[0.36656199 0.33622231 0.46889783 0.4549152  0.4146146  0.40444825
 0.71805799 0.66244205 0.18342946 0.29059399 0.92442933 0.56946555
 0.18309533 0.61909359 0.50153976 0.28088531 0.7418001  0.04095995
 0.50517548 0.27991663 0.94286348 0.63801005 0.91400894 0.23201826
 0.44403818 0.26451881]",0.11569134723908839,0.07852644851648823,-0.011262996208373533
"[0.764374   0.32833177 0.49764562 0.79710375 0.71163809 0.79045166
 0.54443505 0.58679718 0.18342946 0.04542058 0.57057119 0.1481572
 0.12995516 0.41623698 0.45120572 0.31986604 0.58271364 0.12513862
 0.81913643 0.08749517 0.60874962 0.67865353 0.77513193 0.58650023
 0.44403818 0.47389681]",0.11727452498968294,0.08311893974167231,-0.008211963221342317
"[0.60281235 0.41759129 0.74071118 0.58512069 0.15392295 0.56169005
 0.54443505 0.76545766 0.25304394 0.22514302 0.92442933 0.57476724
 0.18309533 0.14797701 0.94422161 0.12150177 0.87884601 0.101623
 0.60026126 0.15832531 0.94286348 0.75521995 0.92776578 0.34324143
 0.51391757 0.10199988]",0.11946611636348553,0.0821953550172031,-0.008831029177652546
"[0.764374   0.3926186  0.3120198  0.58512069 0.6351082  0.73309209
 0.80193279 0.88995608 0.2975494  0.31080842 0.64642373 0.45255603
 0.18309533 0.42258294 0.5292339  0.6363981  0.7418001  0.1427898
 0.48285476 0.11148853 0.94076528 0.90091581 0.69917274 0.4855001
 0.05610642 0.10199988]",0.12022576497053884,0.08410366728036911,-0.012741976247395627
"[0.8381899  0.0481403  0.37487015 0.58512069 0.55239317 0.73309209
 0.54443505 0.88995608 0.22453921 0.15665161 0.85130567 0.21563057
 0.15209813 0.25498486 0.4913663  0.31153829 0.71955259 0.20701116
 0.51889714 0.44574948 0.94286348 0.93114372 0.551298   0.42640171
 0.44796188 0.50072364]",0.12036612477578439,0.08375224643249005,-0.004748746396730688
"[0.91473894 0.01532395 0.41034432 0.51283513 0.31450232 0.86105276
 0.37006591 0.90304897 0.00738936 0.33726116 0.5352474  0.39466872
 0.41214157 0.38541189 0.97010285 0.57712696 0.96018968 0.06926448
 0.58886427 0.437664   0.64304905 0.90091581 0.91400894 0.09505393
 0.65501583 0.44611793]",0.12351977264813273,0.07646322072808359,0.02411934594799058
"[0.764374   0.24935678 0.02812486 0.77385489 0.17904481 0.69329186
 0.49122918 0.73582046 0.55408817 0.40149868 0.52639866 0.46168774
 0.19905173 0.81664212 0.92787384 0.87691123 0.63407901 0.20248809
 0.58620883 0.48972607 0.99447672 0.51481872 0.86266496 0.33155318
 0.6248483  0.36851403]",0.12397905496508708,0.07269966504309346,0.012914268998940246
"[0.65451772 0.07519547 0.63142061 0.58295869 0.41764199 0.81777816
 0.54443505 0.5099224  0.42322295 0.12899871 0.99935339 0.13539854
 0.18309533 0.42258294 0.93110223 0.56230915 0.50718846 0.30515685
 0.4806379  0.11179295 0.92309652 0.96279168 0.60276114 0.23201826
 0.73025415 0.35876324]",0.12410810071028866,0.08987037270965106,-0.01015952053893178
"[0.9611293  0.14086737 0.38053551 0.18822583 0.31450232 0.7495133
 0.54443505 0.88995608 0.42043238 0.27987396 0.95262204 0.44769083
 0.06893011 0.42258294 0.45356828 0.20368054 0.62026011 0.35123408
 0.79814808 0.33872298 0.56587727 0.84574666 0.54607722 0.61897132
 0.44403818 0.49552094]",0.12454183979955137,0.08800798212969545,-0.003214900991302283
