Ah,SOC,V,A,Wh,time
51.36092,81.81%,3.272694,-140.0639,-168.3086,1320
51.75002,81.67%,3.272605,-140.0792,-169.582,1330
52.13911,81.53%,3.272522,-140.0774,-170.8553,1340
52.52821,81.40%,3.272417,-140.0724,-172.1286,1350
52.91731,81.26%,3.272334,-140.0829,-173.4019,1360
53.30641,81.12%,3.272251,-140.0857,-174.6752,1370
53.6955,80.98%,3.272162,-140.0843,-175.9484,1380
54.0846,80.84%,3.272077,-140.074,-177.2215,1390
54.4737,80.71%,3.271997,-140.0804,-178.4947,1400
54.8628,80.57%,3.271924,-140.0721,-179.7678,1410
55.2519,80.43%,3.271809,-140.0831,-181.0409,1420
55.641,80.29%,3.271736,-140.0788,-182.3139,1430
56.0301,80.16%,3.271615,-140.0806,-183.5869,1440
56.41919,80.02%,3.271564,-140.0699,-184.8599,1450
56.80829,79.88%,3.271469,-140.0767,-186.1328,1460
57.1974,79.74%,3.271373,-140.0854,-187.4057,1470
57.58649,79.60%,3.271236,-140.0857,-188.6786,1480
57.97559,79.47%,3.271188,-140.0749,-189.9514,1490
58.36469,79.33%,3.271055,-140.0705,-191.2242,1500
58.75379,79.19%,3.270953,-140.071,-192.497,1510
59.14289,79.05%,3.27087,-140.085,-193.7697,1520
59.53199,78.91%,3.270775,-140.079,-195.0424,1530
59.92109,78.78%,3.270702,-140.071,-196.315,1540
60.31019,78.64%,3.270593,-140.0836,-197.5876,1550
60.69929,78.50%,3.270479,-140.0827,-198.8602,1560
61.08839,78.36%,3.27038,-140.0815,-200.1327,1570
61.47749,78.23%,3.270253,-140.0802,-201.4052,1580
61.86659,78.09%,3.27017,-140.0824,-202.6776,1590
62.25569,77.95%,3.27004,-140.0721,-203.95,1600
62.64479,77.81%,3.269944,-140.0712,-205.2224,1610
63.03389,77.67%,3.269826,-140.0765,-206.4947,1620
63.42299,77.54%,3.269728,-140.0788,-207.767,1630
63.81208,77.40%,3.26961,-140.0731,-209.0392,1640
64.20119,77.26%,3.269502,-140.0662,-210.3114,1650
64.59028,77.12%,3.269387,-140.0836,-211.5835,1660
64.97938,76.99%,3.269273,-140.085,-212.8556,1670
65.36848,76.85%,3.269133,-140.0687,-214.1277,1680
65.75758,76.71%,3.269002,-140.0655,-215.3997,1690
66.14668,76.57%,3.268903,-140.074,-216.6716,1700
66.53577,76.43%,3.268789,-140.0829,-217.9435,1710
66.92487,76.30%,3.268636,-140.0852,-219.2153,1720
67.31397,76.16%,3.268509,-140.0779,-220.4872,1730
67.70307,76.02%,3.268391,-140.0799,-221.7589,1740
68.09217,75.88%,3.268264,-140.0657,-223.0306,1750
68.48127,75.75%,3.268124,-140.0641,-224.3023,1760
68.87037,75.61%,3.267987,-140.0788,-225.5739,1770
69.25947,75.47%,3.267857,-140.0714,-226.8454,1780
69.64857,75.33%,3.267701,-140.0714,-228.1169,1790
70.03767,75.19%,3.267554,-140.0724,-229.3883,1800
70.42677,75.06%,3.267421,-140.0698,-230.6597,1810
70.81586,74.92%,3.267293,-140.0735,-231.931,1820
71.20496,74.78%,3.267134,-140.085,-233.2023,1830
71.59406,74.64%,3.266984,-140.0838,-234.4735,1840
71.98316,74.50%,3.266822,-140.0737,-235.7447,1850
72.37226,74.37%,3.26667,-140.0843,-237.0157,1860
72.76136,74.23%,3.266501,-140.0809,-238.2868,1870
73.15045,74.09%,3.266355,-140.0797,-239.5577,1880
73.53955,73.95%,3.266183,-140.0746,-240.8286,1890
73.92864,73.82%,3.266027,-140.0614,-242.0995,1900
74.31774,73.68%,3.265855,-140.0708,-243.3702,1910
74.70684,73.54%,3.265683,-140.0763,-244.6409,1920
75.09593,73.40%,3.265498,-140.0705,-245.9116,1930
75.48503,73.26%,3.265346,-140.0687,-247.1821,1940
75.87413,73.13%,3.265158,-140.0781,-248.4526,1950
76.26322,72.99%,3.264967,-140.0694,-249.723,1960
76.65232,72.85%,3.264792,-140.0699,-250.9934,1970
77.04141,72.71%,3.264591,-140.0811,-252.2637,1980
77.43051,72.58%,3.264385,-140.0792,-253.5339,1990
77.8196,72.44%,3.264184,-140.0786,-254.804,2000
78.2087,72.30%,3.264003,-140.0834,-256.074,2010
78.5978,72.16%,3.26378,-140.0751,-257.344,2020
78.9869,72.02%,3.263592,-140.0811,-258.6139,2030
79.37599,71.89%,3.263385,-140.0714,-259.8837,2040
79.76509,71.75%,3.263143,-140.082,-261.1534,2050
80.15418,71.61%,3.262965,-140.0786,-262.4231,2060
80.54328,71.47%,3.262746,-140.0792,-263.6926,2070
80.93237,71.34%,3.262494,-140.0829,-264.9621,2080
81.32147,71.20%,3.262265,-140.0657,-266.2315,2090
81.71057,71.06%,3.262027,-140.0747,-267.5008,2100
82.09966,70.92%,3.261801,-140.0721,-268.77,2110
82.48876,70.78%,3.261552,-140.0662,-270.0391,2120
82.87785,70.65%,3.261336,-140.0781,-271.3081,2130
83.26694,70.51%,3.261078,-140.076,-272.577,2140
83.65604,70.37%,3.26082,-140.0779,-273.8458,2150
84.04514,70.23%,3.260575,-140.0742,-275.1146,2160
84.43423,70.09%,3.260298,-140.0797,-276.3832,2170
84.82333,69.96%,3.26005,-140.0694,-277.6517,2180
85.21243,69.82%,3.259802,-140.0756,-278.9201,2190
85.60152,69.68%,3.259544,-140.0614,-280.1884,2200
85.99062,69.54%,3.259245,-140.068,-281.4566,2210
86.37971,69.41%,3.258955,-140.0724,-282.7248,2220
86.76881,69.27%,3.258688,-140.0712,-283.9928,2230
87.15791,69.13%,3.258433,-140.0795,-285.2607,2240
87.547,68.99%,3.258138,-140.0811,-286.5284,2250
87.9361,68.85%,3.257848,-140.0634,-287.7961,2260
88.3252,68.72%,3.257568,-140.068,-289.0637,2270
88.71429,68.58%,3.257269,-140.0756,-290.3311,2280
89.10339,68.44%,3.256973,-140.0726,-291.5984,2290
89.49249,68.30%,3.256664,-140.0829,-292.8657,2300
89.88158,68.17%,3.256387,-140.0832,-294.1328,2310
90.27067,68.03%,3.256091,-140.0724,-295.3997,2320
90.65977,67.89%,3.255802,-140.0825,-296.6666,2330
91.04886,67.75%,3.255518,-140.0689,-297.9333,2340
91.43796,67.61%,3.255229,-140.0643,-299.2,2350
91.82705,67.48%,3.254936,-140.0692,-300.4666,2360
92.21615,67.34%,3.25464,-140.0646,-301.733,2370
92.60524,67.20%,3.254344,-140.076,-302.9993,2380
92.99433,67.06%,3.254074,-140.0809,-304.2655,2390
93.38343,66.93%,3.253762,-140.082,-305.5316,2400
93.77252,66.79%,3.253517,-140.0682,-306.7975,2410
94.16161,66.65%,3.25324,-140.0825,-308.0634,2420
94.55071,66.51%,3.252973,-140.0632,-309.3292,2430
94.93981,66.37%,3.252661,-140.0861,-310.5948,2440
95.3289,66.24%,3.252406,-140.0746,-311.8604,2450
95.718,66.10%,3.252151,-140.0701,-313.1259,2460
96.10709,65.96%,3.251881,-140.082,-314.3912,2470
96.49619,65.82%,3.251642,-140.0593,-315.6564,2480
96.88528,65.68%,3.251384,-140.0749,-316.9216,2490
97.27438,65.55%,3.251136,-140.0676,-318.1866,2500
97.66348,65.41%,3.250875,-140.0662,-319.4516,2510
98.05257,65.27%,3.250665,-140.0825,-320.7164,2520
98.44167,65.13%,3.250363,-140.0806,-321.9812,2530
98.83076,65.00%,3.250153,-140.0802,-323.2458,2540
99.21986,64.86%,3.249924,-140.0717,-324.5104,2550
99.60896,64.72%,3.249711,-140.0788,-325.7749,2560
99.99805,64.58%,3.249481,-140.0636,-327.0393,2570
100.3871,64.44%,3.249268,-140.0726,-328.3036,2580
100.7762,64.31%,3.249052,-140.0666,-329.5679,2590
101.1653,64.17%,3.248855,-140.0827,-330.832,2600
101.5544,64.03%,3.248676,-140.0717,-332.0961,2610
101.9435,63.89%,3.248441,-140.0703,-333.3601,2620
102.3326,63.76%,3.248282,-140.0655,-334.624,2630
102.7217,63.62%,3.248081,-140.0643,-335.8879,2640
103.1108,63.48%,3.247919,-140.0825,-337.1517,2650
103.4999,63.34%,3.247718,-140.0673,-338.4154,2660
103.889,63.20%,3.247553,-140.0673,-339.679,2670
104.2781,63.07%,3.247362,-140.0772,-340.9426,2680
104.6672,62.93%,3.2472,-140.0721,-342.2061,2690
105.0563,62.79%,3.247041,-140.0788,-343.4695,2700
105.4454,62.65%,3.246894,-140.0655,-344.7329,2710
105.8345,62.52%,3.246703,-140.0767,-345.9962,2720
106.2236,62.38%,3.246595,-140.0618,-347.2595,2730
106.6127,62.24%,3.24642,-140.0706,-348.5226,2740
107.0018,62.10%,3.246267,-140.068,-349.7858,2750
107.3909,61.96%,3.246111,-140.0781,-351.0489,2760
107.7799,61.83%,3.245968,-140.0668,-352.3119,2770
108.169,61.69%,3.245812,-140.0721,-353.5749,2780
108.5581,61.55%,3.245704,-140.0692,-354.8378,2790
108.9472,61.41%,3.245567,-140.0829,-356.1006,2800
109.3363,61.27%,3.245452,-140.0664,-357.3634,2810
109.7254,61.14%,3.245306,-140.0687,-358.6262,2820
110.1145,61.00%,3.245179,-140.0834,-359.8889,2830
110.5036,60.86%,3.245061,-140.0733,-361.1516,2840
110.8927,60.72%,3.244921,-140.0845,-362.4142,2850
111.2818,60.59%,3.244832,-140.0616,-363.6767,2860
111.6709,60.45%,3.244683,-140.0611,-364.9392,2870
112.06,60.31%,3.244571,-140.0632,-366.2017,2880
112.4491,60.17%,3.244469,-140.0818,-367.4641,2890
112.8382,60.03%,3.244348,-140.0802,-368.7265,2900
113.2273,59.90%,3.244231,-140.0676,-369.9888,2910
113.6164,59.76%,3.244119,-140.0618,-371.2511,2920
114.0055,59.62%,3.244027,-140.082,-372.5134,2930
114.3945,59.48%,3.243919,-140.0653,-373.7756,2940
114.7836,59.35%,3.243778,-140.0708,-375.0377,2950
115.1727,59.21%,3.243664,-140.068,-376.2998,2960
115.5618,59.07%,3.243575,-140.0731,-377.5619,2970
115.9509,58.93%,3.243473,-140.0847,-378.8239,2980
116.34,58.79%,3.243374,-140.0678,-380.0859,2990
116.7291,58.66%,3.243282,-140.0802,-381.3479,3000
117.1182,58.52%,3.243164,-140.0797,-382.6098,3010
117.5073,58.38%,3.243056,-140.074,-383.8717,3020
117.8964,58.24%,3.242951,-140.079,-385.1335,3030
118.2855,58.11%,3.242846,-140.0749,-386.3953,3040
118.6746,57.97%,3.242757,-140.0799,-387.6571,3050
119.0637,57.83%,3.242652,-140.0742,-388.9188,3060
119.4528,57.69%,3.242598,-140.0714,-390.1805,3070
119.8419,57.55%,3.242474,-140.0634,-391.4421,3080
120.2309,57.42%,3.242375,-140.0744,-392.7037,3090
120.62,57.28%,3.242264,-140.0847,-393.9653,3100
121.0091,57.14%,3.242194,-140.0673,-395.2268,3110
121.3982,57.00%,3.242076,-140.0669,-396.4883,3120
121.7873,56.87%,3.241993,-140.0797,-397.7497,3130
122.1764,56.73%,3.241894,-140.0774,-399.0111,3140
122.5655,56.59%,3.241809,-140.0705,-400.2725,3150
122.9546,56.45%,3.241704,-140.0623,-401.5338,3160
123.3437,56.31%,3.241583,-140.0703,-402.7952,3170
123.7328,56.18%,3.241497,-140.0666,-404.0564,3180
124.1219,56.04%,3.241392,-140.0738,-405.3176,3190
124.511,55.90%,3.241306,-140.0701,-406.5788,3200
124.9001,55.76%,3.24122,-140.0772,-407.84,3210
125.2891,55.62%,3.241115,-140.0786,-409.1011,3220
125.6782,55.49%,3.241038,-140.0822,-410.3622,3230
126.0673,55.35%,3.240943,-140.0648,-411.6232,3240
126.4564,55.21%,3.240844,-140.0829,-412.8842,3250
126.8455,55.07%,3.240739,-140.0786,-414.1452,3260
127.2346,54.94%,3.240682,-140.0781,-415.4061,3270
127.6237,54.80%,3.240583,-140.0625,-416.667,3280
128.0128,54.66%,3.240459,-140.0726,-417.9279,3290
128.4019,54.52%,3.240367,-140.0827,-419.1887,3300
128.791,54.38%,3.240272,-140.0859,-420.4495,3310
129.1801,54.25%,3.240176,-140.0623,-421.7103,3320
129.5692,54.11%,3.24009,-140.0744,-422.971,3330
129.9583,53.97%,3.239988,-140.0765,-424.2317,3340
130.3474,53.83%,3.239902,-140.0786,-425.4923,3350
130.7365,53.70%,3.239851,-140.0671,-426.7529,3360
131.1255,53.56%,3.239724,-140.0694,-428.0135,3370
131.5146,53.42%,3.239632,-140.0765,-429.274,3380
131.9037,53.28%,3.239549,-140.0678,-430.5345,3390
132.2928,53.14%,3.239482,-140.0731,-431.795,3400
132.6819,53.01%,3.23938,-140.074,-433.0555,3410
133.071,52.87%,3.239314,-140.0591,-434.3159,3420
133.4601,52.73%,3.239177,-140.0678,-435.5762,3430
133.8492,52.59%,3.239084,-140.0719,-436.8365,3440
134.2383,52.46%,3.239043,-140.0623,-438.0969,3450
134.6274,52.32%,3.238945,-140.0678,-439.3571,3460
135.0165,52.18%,3.238836,-140.0804,-440.6173,3470
135.4056,52.04%,3.238747,-140.0832,-441.8775,3480
135.7947,51.90%,3.238639,-140.0643,-443.1377,3490
136.1838,51.77%,3.238585,-140.0689,-444.3978,3500
136.5729,51.63%,3.23847,-140.0643,-445.6579,3510
136.9619,51.49%,3.238391,-140.0838,-446.9179,3520
137.351,51.35%,3.238308,-140.0659,-448.178,3530
137.7401,51.21%,3.238206,-140.0746,-449.438,3540
138.1292,51.08%,3.238114,-140.0877,-450.6979,3550
138.5183,50.94%,3.238047,-140.0627,-451.9578,3560
138.9074,50.80%,3.237907,-140.0792,-453.2177,3570
139.2965,50.66%,3.237853,-140.0818,-454.4776,3580
139.6856,50.53%,3.237799,-140.0781,-455.7374,3590
140.0747,50.39%,3.2377,-140.0671,-456.9972,3600
140.4638,50.25%,3.237592,-140.0813,-458.2569,3610
140.8529,50.11%,3.237496,-140.0602,-459.5166,3620
141.242,49.97%,3.237407,-140.0611,-460.7763,3630
141.6311,49.84%,3.237321,-140.0724,-462.036,3640
142.0202,49.70%,3.237251,-140.0655,-463.2956,3650
142.4093,49.56%,3.237146,-140.0822,-464.5552,3660
142.7984,49.42%,3.237064,-140.0643,-465.8147,3670
143.1875,49.29%,3.236981,-140.073,-467.0742,3680
143.5766,49.15%,3.236917,-140.065,-468.3337,3690
143.9657,49.01%,3.236784,-140.071,-469.5931,3700
144.3548,48.87%,3.236698,-140.0772,-470.8525,3710
144.7439,48.73%,3.236621,-140.0772,-472.1119,3720
145.1329,48.60%,3.236529,-140.0859,-473.3712,3730
145.522,48.46%,3.236446,-140.0726,-474.6306,3740
145.9111,48.32%,3.23637,-140.063,-475.8898,3750
146.3002,48.18%,3.236271,-140.082,-477.149,3760
146.6893,48.05%,3.236176,-140.0659,-478.4083,3770
147.0784,47.91%,3.236064,-140.082,-479.6674,3780
147.4675,47.77%,3.235975,-140.0797,-480.9265,3790
147.8566,47.63%,3.235909,-140.0813,-482.1856,3800
148.2457,47.49%,3.235823,-140.0689,-483.4447,3810
148.6348,47.36%,3.235692,-140.0758,-484.7037,3820
149.0239,47.22%,3.235613,-140.0772,-485.9627,3830
149.413,47.08%,3.23553,-140.074,-487.2216,3840
149.8021,46.94%,3.235422,-140.0838,-488.4805,3850
150.1912,46.80%,3.235326,-140.0834,-489.7394,3860
150.5803,46.67%,3.235231,-140.0694,-490.9982,3870
150.9694,46.53%,3.235138,-140.0834,-492.257,3880
151.3585,46.39%,3.235034,-140.085,-493.5158,3890
151.7476,46.25%,3.234931,-140.0829,-494.7745,3900
152.1367,46.12%,3.234839,-140.0717,-496.0332,3910
152.5258,45.98%,3.234734,-140.0827,-497.2918,3920
152.9149,45.84%,3.234617,-140.0852,-498.5505,3930
153.304,45.70%,3.234534,-140.0756,-499.8091,3940
153.6931,45.56%,3.234429,-140.0655,-501.0676,3950
154.0822,45.43%,3.234311,-140.0776,-502.3261,3960
154.4713,45.29%,3.234231,-140.0634,-503.5845,3970
154.8604,45.15%,3.234139,-140.0673,-504.8429,3980
155.2495,45.01%,3.233999,-140.0659,-506.1013,3990
155.6386,44.88%,3.23391,-140.0845,-507.3596,4000
156.0277,44.74%,3.233811,-140.0783,-508.6179,4010
156.4168,44.60%,3.233697,-140.0864,-509.8762,4020
156.8059,44.46%,3.233601,-140.0852,-511.1344,4030
157.1949,44.32%,3.233506,-140.0868,-512.3926,4040
157.584,44.19%,3.233404,-140.0808,-513.6507,4050
157.9731,44.05%,3.233286,-140.0776,-514.9088,4060
158.3622,43.91%,3.233169,-140.079,-516.1668,4070
158.7513,43.77%,3.233076,-140.0685,-517.4248,4080
159.1404,43.64%,3.232949,-140.063,-518.6827,4090
159.5295,43.50%,3.232853,-140.0714,-519.9407,4100
159.9186,43.36%,3.232729,-140.0827,-521.1985,4110
160.3077,43.22%,3.232634,-140.0742,-522.4564,4120
160.6968,43.08%,3.232487,-140.0708,-523.7142,4130
161.0859,42.95%,3.232367,-140.0804,-524.9719,4140
161.475,42.81%,3.232245,-140.0822,-526.2296,4150
161.8641,42.67%,3.232176,-140.0641,-527.4872,4160
162.2532,42.53%,3.23201,-140.0705,-528.7448,4170
162.6423,42.39%,3.231915,-140.0701,-530.0024,4180
163.0314,42.26%,3.231797,-140.0662,-531.2599,4190
163.4205,42.12%,3.231622,-140.0728,-532.5173,4200
163.8096,41.98%,3.231523,-140.0746,-533.7747,4210
164.1987,41.84%,3.231405,-140.0726,-535.0321,4220
164.5878,41.71%,3.231284,-140.0618,-536.2894,4230
164.9769,41.57%,3.231157,-140.0868,-537.5466,4240
165.366,41.43%,3.231052,-140.0843,-538.8038,4250
165.7551,41.29%,3.230887,-140.0717,-540.061,4260
166.1442,41.15%,3.230766,-140.0687,-541.3181,4270
166.5333,41.02%,3.230661,-140.065,-542.5752,4280
166.9224,40.88%,3.230533,-140.0728,-543.8322,4290
167.3115,40.74%,3.230371,-140.0824,-545.0891,4300
167.7006,40.60%,3.230222,-140.0726,-546.346,4310
168.0897,40.47%,3.230114,-140.0827,-547.6029,4320
168.4788,40.33%,3.229957,-140.0591,-548.8597,4330
168.8679,40.19%,3.229808,-140.0683,-550.1164,4340
169.257,40.05%,3.229665,-140.0813,-551.3731,4350
169.6461,39.91%,3.229525,-140.0809,-552.6297,4360
170.0352,39.78%,3.229378,-140.0733,-553.8863,4370
170.4243,39.64%,3.229228,-140.0818,-555.1428,4380
170.8134,39.50%,3.229057,-140.0701,-556.3992,4390
171.2025,39.36%,3.228885,-140.0696,-557.6556,4400
171.5916,39.23%,3.228755,-140.0864,-558.912,4410
171.9807,39.09%,3.228589,-140.0664,-560.1683,4420
172.3698,38.95%,3.228427,-140.0664,-561.4244,4430
172.7589,38.81%,3.22828,-140.0685,-562.6806,4440
173.1479,38.67%,3.228134,-140.068,-563.9366,4450
173.537,38.54%,3.227952,-140.073,-565.1927,4460
173.9261,38.40%,3.227781,-140.0795,-566.4487,4470
174.3152,38.26%,3.227587,-140.0611,-567.7045,4480
174.7043,38.12%,3.227437,-140.0809,-568.9603,4490
175.0934,37.98%,3.227221,-140.068,-570.2161,4500
175.4825,37.85%,3.227055,-140.0728,-571.4717,4510
175.8716,37.71%,3.226883,-140.0898,-572.7274,4520
176.2607,37.57%,3.226686,-140.0719,-573.9829,4530
176.6498,37.43%,3.226517,-140.0792,-575.2383,4540
177.0389,37.30%,3.226291,-140.0774,-576.4938,4550
177.428,37.16%,3.226097,-140.0641,-577.7491,4560
177.8171,37.02%,3.225884,-140.0816,-579.0043,4570
178.2062,36.88%,3.225718,-140.0832,-580.2595,4580
178.5953,36.74%,3.225464,-140.0669,-581.5145,4590
178.9844,36.61%,3.225263,-140.0781,-582.7695,4600
179.3735,36.47%,3.22506,-140.0831,-584.0244,4610
179.7626,36.33%,3.224837,-140.0717,-585.2792,4620
180.1517,36.19%,3.224605,-140.0784,-586.5339,4630
180.5408,36.06%,3.224385,-140.0627,-587.7886,4640
180.9299,35.92%,3.22414,-140.0744,-589.0432,4650
181.319,35.78%,3.223886,-140.0632,-590.2976,4660
181.7081,35.64%,3.223647,-140.0864,-591.5519,4670
182.0972,35.50%,3.223386,-140.0659,-592.8062,4680
182.4863,35.37%,3.223141,-140.0838,-594.0604,4690
182.8754,35.23%,3.222883,-140.068,-595.3145,4700
183.2645,35.09%,3.222612,-140.0779,-596.5684,4710
