Ah,SOC,V,A,Wh,time
73.14952,72.48%,2.969634,-140.0822,-213.3443,1880
73.53861,72.33%,2.969631,-140.0616,-214.4997,1890
73.92771,72.19%,2.969583,-140.0655,-215.6552,1900
74.3168,72.04%,2.969504,-140.0719,-216.8106,1910
74.7059,71.90%,2.969446,-140.0797,-217.966,1920
75.09499,71.75%,2.969351,-140.063,-219.1214,1930
75.48409,71.60%,2.969262,-140.0664,-220.2768,1940
75.87318,71.46%,2.969179,-140.082,-221.4321,1950
76.26228,71.31%,2.969049,-140.082,-222.5873,1960
76.65137,71.16%,2.968944,-140.0632,-223.7426,1970
77.04046,71.02%,2.96881,-140.0834,-224.8977,1980
77.42955,70.87%,2.968664,-140.0811,-226.0528,1990
77.81864,70.72%,2.968489,-140.0671,-227.2079,2000
78.20773,70.58%,2.968297,-140.0818,-228.3629,2010
78.59682,70.43%,2.968135,-140.0641,-229.5178,2020
78.98592,70.29%,2.96796,-140.0809,-230.6726,2030
79.37501,70.14%,2.967747,-140.0777,-231.8274,2040
79.7641,69.99%,2.967556,-140.0652,-232.9821,2050
80.15319,69.85%,2.967343,-140.068,-234.1367,2060
80.54228,69.70%,2.967117,-140.0689,-235.2912,2070
80.93137,69.55%,2.966878,-140.0701,-236.4456,2080
81.32047,69.41%,2.966627,-140.077,-237.6,2090
81.70956,69.26%,2.966391,-140.0838,-238.7542,2100
82.09865,69.11%,2.966118,-140.0802,-239.9084,2110
82.48774,68.97%,2.965841,-140.0694,-241.0624,2120
82.87683,68.82%,2.965551,-140.0827,-242.2164,2130
83.26593,68.68%,2.96522,-140.0731,-243.3702,2140
83.65502,68.53%,2.964896,-140.0749,-244.5239,2150
84.04411,68.38%,2.964571,-140.071,-245.6774,2160
84.4332,68.24%,2.964272,-140.0765,-246.8309,2170
84.8223,68.09%,2.96389,-140.0816,-247.9842,2180
85.2114,67.94%,2.963527,-140.0825,-249.1373,2190
85.60049,67.80%,2.963168,-140.0639,-250.2904,2200
85.98958,67.65%,2.962776,-140.0721,-251.4432,2210
86.37868,67.50%,2.962378,-140.0724,-252.5959,2220
86.76777,67.36%,2.961977,-140.0652,-253.7485,2230
87.15686,67.21%,2.961532,-140.0692,-254.9009,2240
87.54596,67.07%,2.96107,-140.0669,-256.0531,2250
87.93505,66.92%,2.960625,-140.0776,-257.2052,2260
88.32415,66.77%,2.960186,-140.0657,-258.3571,2270
88.71324,66.63%,2.959686,-140.0836,-259.5088,2280
89.10234,66.48%,2.959199,-140.0882,-260.6603,2290
89.49143,66.33%,2.958671,-140.077,-261.8116,2300
89.88053,66.19%,2.958171,-140.0832,-262.9627,2310
90.26962,66.04%,2.957627,-140.0772,-264.1136,2320
90.65872,65.89%,2.957073,-140.0779,-265.2643,2330
91.04782,65.75%,2.95651,-140.0783,-266.4148,2340
91.43691,65.60%,2.955902,-140.0692,-267.565,2350
91.82601,65.45%,2.955342,-140.0705,-268.7151,2360
92.2151,65.31%,2.954734,-140.0708,-269.8648,2370
92.6042,65.16%,2.954107,-140.0659,-271.0144,2380
92.99329,65.02%,2.953455,-140.0655,-272.1637,2390
93.38239,64.87%,2.952783,-140.0809,-273.3127,2400
93.77149,64.72%,2.952112,-140.0818,-274.4615,2410
94.16059,64.58%,2.951393,-140.0797,-275.61,2420
94.54968,64.43%,2.950721,-140.0818,-276.7583,2430
94.93878,64.28%,2.94998,-140.0781,-277.9063,2440
95.32788,64.14%,2.949197,-140.0641,-279.0539,2450
95.71697,63.99%,2.948427,-140.0673,-280.2013,2460
96.10607,63.84%,2.94765,-140.0664,-281.3484,2470
96.49516,63.70%,2.946804,-140.065,-282.4951,2480
96.88425,63.55%,2.946002,-140.0744,-283.6415,2490
97.27335,63.41%,2.945155,-140.0698,-284.7877,2500
97.66244,63.26%,2.944271,-140.0618,-285.9334,2510
98.05153,63.11%,2.943398,-140.0781,-287.0788,2520
98.44062,62.97%,2.942457,-140.0802,-288.2239,2530
98.82972,62.82%,2.941508,-140.0712,-289.3686,2540
99.21881,62.67%,2.940579,-140.0625,-290.513,2550
99.6079,62.53%,2.939592,-140.0694,-291.6569,2560
99.99699,62.38%,2.938593,-140.0742,-292.8005,2570
100.3861,62.23%,2.93754,-140.0811,-293.9437,2580
100.7752,62.09%,2.93649,-140.0802,-295.0865,2590
101.1643,61.94%,2.935407,-140.0806,-296.2288,2600
101.5534,61.80%,2.934309,-140.0822,-297.3708,2610
101.9425,61.65%,2.933173,-140.071,-298.5123,2620
102.3316,61.50%,2.932002,-140.0825,-299.6533,2630
102.7206,61.36%,2.930835,-140.0691,-300.7939,2640
103.1097,61.21%,2.929609,-140.0641,-301.9341,2650
103.4988,61.06%,2.928387,-140.0813,-303.0737,2660
103.8879,60.92%,2.927098,-140.0738,-304.2129,2670
104.277,60.77%,2.925822,-140.0678,-305.3515,2680
104.6661,60.62%,2.924444,-140.0694,-306.4897,2690
105.0552,60.48%,2.923079,-140.0799,-307.6273,2700
105.4443,60.33%,2.921666,-140.0754,-308.7644,2710
105.8334,60.19%,2.920259,-140.0843,-309.9009,2720
106.2225,60.04%,2.918751,-140.0703,-311.0369,2730
106.6116,59.89%,2.917223,-140.0847,-312.1722,2740
107.0007,59.75%,2.915683,-140.0657,-313.307,2750
107.3898,59.60%,2.914085,-140.0811,-314.4412,2760
107.7789,59.45%,2.912411,-140.0836,-315.5747,2770
108.168,59.31%,2.91076,-140.0779,-316.7076,2780
108.5571,59.16%,2.909013,-140.0646,-317.8398,2790
108.9462,59.01%,2.907234,-140.0864,-318.9714,2800
109.3353,58.87%,2.905429,-140.0751,-320.1022,2810
109.7244,58.72%,2.903539,-140.0657,-321.2324,2820
110.1134,58.58%,2.901652,-140.0747,-322.3618,2830
110.5025,58.43%,2.899676,-140.0795,-323.4904,2840
110.8916,58.28%,2.897677,-140.0786,-324.6183,2850
111.2807,58.14%,2.895545,-140.0735,-325.7453,2860
111.6698,57.99%,2.893435,-140.0848,-326.8716,2870
112.0589,57.84%,2.891217,-140.079,-327.9969,2880
112.448,57.70%,2.888948,-140.0827,-329.1215,2890
112.8371,57.55%,2.886612,-140.0762,-330.2451,2900
113.2262,57.40%,2.8842,-140.0673,-331.3678,2910
113.6153,57.26%,2.881727,-140.0712,-332.4895,2920
114.0044,57.11%,2.879162,-140.0783,-333.6103,2930
114.3935,56.97%,2.876523,-140.0811,-334.7301,2940
114.7826,56.82%,2.873841,-140.0712,-335.8488,2950
115.1717,56.67%,2.871059,-140.0825,-336.9664,2960
115.5608,56.53%,2.86817,-140.0636,-338.083,2970
115.9499,56.38%,2.865198,-140.0648,-339.1984,2980
116.339,56.23%,2.862123,-140.0797,-340.3126,2990
116.7281,56.09%,2.858966,-140.0659,-341.4256,3000
117.1171,55.94%,2.855676,-140.0857,-342.5374,3010
117.5062,55.79%,2.852268,-140.0811,-343.6479,3020
117.8953,55.65%,2.848799,-140.0786,-344.757,3030
118.2844,55.50%,2.84519,-140.0772,-345.8648,3040
118.6735,55.35%,2.841454,-140.0774,-346.9711,3050
119.0626,55.21%,2.837568,-140.079,-348.0759,3060
119.4517,55.06%,2.833539,-140.0687,-349.1792,3070
119.8408,54.92%,2.829418,-140.0717,-350.2809,3080
120.2299,54.77%,2.825119,-140.0698,-351.381,3090
120.619,54.62%,2.820663,-140.0786,-352.4794,3100
121.0081,54.48%,2.816065,-140.0719,-353.576,3110
121.3972,54.33%,2.811281,-140.0779,-354.6708,3120
121.7863,54.18%,2.806339,-140.0646,-355.7637,3130
122.1754,54.04%,2.801196,-140.0756,-356.8546,3140
122.5645,53.89%,2.795847,-140.0724,-357.9435,3150
122.9536,53.74%,2.790344,-140.0703,-359.0303,3160
123.3427,53.60%,2.784603,-140.079,-360.1149,3170
123.7318,53.45%,2.778703,-140.0733,-361.1973,3180
124.1209,53.31%,2.772568,-140.0655,-362.2773,3190
124.51,53.16%,2.766209,-140.0756,-363.3548,3200
124.899,53.01%,2.759609,-140.0772,-364.4298,3210
125.2881,52.87%,2.752805,-140.0735,-365.5023,3220
125.6772,52.72%,2.745737,-140.0781,-366.572,3230
126.0663,52.57%,2.738474,-140.0696,-367.6389,3240
126.4554,52.43%,2.730926,-140.0627,-368.703,3250
126.8445,52.28%,2.723158,-140.0811,-369.7641,3260
127.2336,52.13%,2.715227,-140.0652,-370.8221,3270
127.6227,51.99%,2.707051,-140.0751,-371.877,3280
128.0118,51.84%,2.698583,-140.0655,-372.9286,3290
128.4009,51.70%,2.689968,-140.0673,-373.9769,3300
128.7899,51.55%,2.681124,-140.0694,-375.0219,3310
129.179,51.40%,2.672125,-140.077,-376.0633,3320
129.5681,51.26%,2.66295,-140.0717,-377.1012,3330
129.9572,51.11%,2.653638,-140.0735,-378.1355,3340
130.3463,50.96%,2.644209,-140.074,-379.1662,3350
130.7354,50.82%,2.634661,-140.076,-380.1932,3360
131.1245,50.67%,2.625031,-140.0682,-381.2164,3370
131.5136,50.52%,2.615389,-140.079,-382.2359,3380
131.9027,50.38%,2.605705,-140.065,-383.2516,3390
132.2918,50.23%,2.59604,-140.0662,-384.2636,3400
132.6808,50.09%,2.586416,-140.0726,-385.2718,3410
133.0699,49.94%,2.576853,-140.0682,-386.2763,3420
133.459,49.79%,2.567367,-140.0715,-387.2771,3430
133.8481,49.65%,2.55795,-140.0715,-388.2742,3440
134.2372,49.50%,2.548715,-140.0724,-389.2676,3450
